p1_x,p1_y,p2_x,p2_y
-71.5434762,-16.4041309,-71.5435048,-16.4042044
-71.5381194,-16.4200957,-71.5381576,-16.4200458
-71.5381194,-16.4200957,-71.5382056,-16.4201573
-71.5381194,-16.4200957,-71.538098,-16.4201881
-71.5381194,-16.4200957,-71.5380527,-16.4200509
-71.5404591,-16.4208682,-71.5403624,-16.4209332
-71.5404591,-16.4208682,-71.5412452,-16.4213232
-71.5404591,-16.4208682,-71.5405263,-16.4203972
-71.5404591,-16.4208682,-71.5403098,-16.4207932
-71.5347649,-16.417624,-71.5348362,-16.4176618
-71.5347649,-16.417624,-71.5347363,-16.4177014
-71.5347649,-16.417624,-71.5349172,-16.4173643
-71.5347649,-16.417624,-71.5346021,-16.4175655
-71.5414472,-16.4214134,-71.5423157,-16.4206136
-71.5414472,-16.4214134,-71.5413372,-16.4214929
-71.5414472,-16.4214134,-71.5416768,-16.4214595
-71.5414472,-16.4214134,-71.5412452,-16.4213232
-71.5452408,-16.4230025,-71.5451537,-16.4229783
-71.5452408,-16.4230025,-71.5452216,-16.4230416
-71.5452408,-16.4230025,-71.5454721,-16.4230558
-71.5343086,-16.3968025,-71.533992,-16.3960188
-71.5343086,-16.3968025,-71.5342901,-16.3968091
-71.5343086,-16.3968025,-71.5347204,-16.3978312
-71.5343086,-16.3968025,-71.535388,-16.3964203
-71.5332068,-16.3971967,-71.5321428,-16.3975711
-71.5332068,-16.3971967,-71.5327744,-16.3961651
-71.5332068,-16.3971967,-71.5334995,-16.3978952
-71.5332068,-16.3971967,-71.5342901,-16.3968091
-71.5340491,-16.3992429,-71.5329621,-16.3996259
-71.5340491,-16.3992429,-71.5344705,-16.3990858
-71.5340491,-16.3992429,-71.5336362,-16.3982212
-71.5340491,-16.3992429,-71.5342075,-16.3996596
-71.5325669,-16.39861,-71.5336362,-16.3982212
-71.5325669,-16.39861,-71.5329621,-16.3996259
-71.5325669,-16.39861,-71.5321428,-16.3975711
-71.5325669,-16.39861,-71.5321126,-16.3987738
-71.5320435,-16.3944035,-71.5323159,-16.3937982
-71.5320435,-16.3944035,-71.531887,-16.3941578
-71.5320435,-16.3944035,-71.5323181,-16.3950766
-71.5314002,-16.391951,-71.5314024,-16.3918844
-71.5314002,-16.391951,-71.5307589,-16.3917415
-71.5314002,-16.391951,-71.5315156,-16.3924223
-71.5314002,-16.391951,-71.5319858,-16.3919766
-71.53531,-16.3933022,-71.5350183,-16.3931974
-71.5343873,-16.3922998,-71.5338294,-16.3931729
-71.5343873,-16.3922998,-71.5332847,-16.3919833
-71.5343873,-16.3922998,-71.5350589,-16.3929895
-71.5323625,-16.3918845,-71.532345,-16.3918872
-71.5323625,-16.3918845,-71.5330212,-16.3935932
-71.5323625,-16.3918845,-71.5323379,-16.3918147
-71.5323625,-16.3918845,-71.5332847,-16.3919833
-71.5317896,-16.3939176,-71.5323159,-16.3937982
-71.5317896,-16.3939176,-71.5317367,-16.3935228
-71.5317896,-16.3939176,-71.531887,-16.3941578
-71.5336573,-16.3934197,-71.5330212,-16.3935932
-71.5336573,-16.3934197,-71.5337431,-16.3933253
-71.5336573,-16.3934197,-71.5338353,-16.3933738
-71.5336573,-16.3934197,-71.5336577,-16.3936758
-71.5336573,-16.3934197,-71.5335618,-16.3927263
-71.5317367,-16.3935228,-71.5317073,-16.3933028
-71.5317367,-16.3935228,-71.5306441,-16.3934902
-71.5314024,-16.3918844,-71.5314873,-16.3912451
-71.5314024,-16.3918844,-71.5323379,-16.3918147
-71.5314024,-16.3918844,-71.5307318,-16.3916436
-71.5285466,-16.3909191,-71.5286223,-16.3909002
-71.5285466,-16.3909191,-71.5288102,-16.3911724
-71.5307318,-16.3916436,-71.530692,-16.3917021
-71.5307318,-16.3916436,-71.5306479,-16.3915971
-71.530692,-16.3917021,-71.5306051,-16.3916553
-71.530692,-16.3917021,-71.5307589,-16.3917415
-71.530692,-16.3917021,-71.5306686,-16.3917979
-71.5306669,-16.3924386,-71.5315156,-16.3924223
-71.5306669,-16.3924386,-71.5306686,-16.3917979
-71.5306669,-16.3924386,-71.5306441,-16.3934902
-71.5306669,-16.3924386,-71.5293583,-16.3934083
-71.5306441,-16.3934902,-71.5308962,-16.3943554
-71.5306441,-16.3934902,-71.5293583,-16.3934083
-71.5306441,-16.3934902,-71.5305249,-16.3936394
-71.5310529,-16.3947759,-71.5310835,-16.3948613
-71.5310529,-16.3947759,-71.5301142,-16.3948063
-71.5310529,-16.3947759,-71.5308962,-16.3943554
-71.5315156,-16.3924223,-71.5317073,-16.3933028
-71.5293583,-16.3934083,-71.529079,-16.393388
-71.5293583,-16.3934083,-71.5293547,-16.3937565
-71.546502,-16.4005144,-71.5467786,-16.4012417
-71.546502,-16.4005144,-71.5459112,-16.4008094
-71.5445806,-16.3985992,-71.5445376,-16.3985101
-71.5445806,-16.3985992,-71.5448694,-16.3993596
-71.5445806,-16.3985992,-71.5446344,-16.3985643
-71.5338353,-16.3933738,-71.5337431,-16.3933253
-71.5338353,-16.3933738,-71.5350183,-16.3931974
-71.5365744,-16.3946315,-71.536666,-16.3945964
-71.5365744,-16.3946315,-71.5365623,-16.394607
-71.5365744,-16.3946315,-71.5366365,-16.3947889
-71.5366831,-16.3951914,-71.5365316,-16.3952182
-71.5366831,-16.3951914,-71.5368224,-16.3956102
-71.5366831,-16.3951914,-71.5366365,-16.3947889
-71.5366365,-16.3947889,-71.5363841,-16.3948796
-71.5363377,-16.3953833,-71.5363377,-16.3953833
-71.5363377,-16.3953833,-71.5364156,-16.3953241
-71.5363296,-16.3946783,-71.5363841,-16.3948796
-71.5363296,-16.3946783,-71.5365623,-16.394607
-71.5363296,-16.3946783,-71.5365623,-16.394607
-71.5370593,-16.3958264,-71.536933,-16.3959173
-71.5370593,-16.3958264,-71.5370163,-16.3957063
-71.5370593,-16.3958264,-71.5371306,-16.3958083
-71.5364156,-16.3953241,-71.5365102,-16.3952815
-71.5364156,-16.3953241,-71.536933,-16.3959173
-71.5426316,-16.3964002,-71.5418525,-16.3947735
-71.5426316,-16.3964002,-71.5443201,-16.3944039
-71.5426316,-16.3964002,-71.5426208,-16.396951
-71.5370664,-16.397631,-71.5360177,-16.3979984
-71.5370664,-16.397631,-71.5372273,-16.3981003
-71.5364766,-16.3960707,-71.536933,-16.3959173
