y	x
-16.402880700000000	-71.520890199999900
-16.407140800000000	-71.548211699999900
-16.388210000000000	-71.533181099999900
-16.407988499999900	-71.516826800000000
-16.411767099999900	-71.532455299999900
-16.397073200000000	-71.546396299999900
-16.400804099999900	-71.541384800000000
-16.410058800000000	-71.534403999999900
-16.401270900000000	-71.525854699999900
-16.405691999999900	-71.542193299999900
-16.423168100000000	-71.545920199999900
-16.397254499999900	-71.525193000000000
-16.409766200000000	-71.551625099999900
-16.411899200000000	-71.537951699999900
-16.420104800000000	-71.539418699999900
-16.403584299999900	-71.542358500000000
-16.402996500000000	-71.551060500000000
-16.405879100000000	-71.535398499999900
-16.420539800000000	-71.539208200000000
-16.413856700000000	-71.546528199999900
-16.408766400000000	-71.517609300000000
-16.397576300000000	-71.547839199999900
-16.410910099999900	-71.524383099999900
-16.411833600000000	-71.539738799999900
-16.414798600000000	-71.529091100000000
-16.431173800000000	-71.561725999999900
-16.406172600000000	-71.542000400000000
-16.397998399999900	-71.536017700000000
-16.406987800000000	-71.545171800000000
-16.403728999999900	-71.518076600000000
-16.408721300000000	-71.537085700000000
-16.399405800000000	-71.521593899999900
-16.414305200000000	-71.539734499999900
-16.383641200000000	-71.536719399999900
-16.407742400000000	-71.525157199999900
-16.416101000000000	-71.551433200000000
-16.400821000000000	-71.523112800000000
-16.389239900000000	-71.530024400000000
-16.410423800000000	-71.532989499999900
-16.395654600000000	-71.537531099999900
-16.407143600000000	-71.526436799999900
-16.410355299999900	-71.520721300000000
-16.414208700000000	-71.542026800000000
-16.409807499999900	-71.531377399999900
-16.396683400000000	-71.537932299999900
-16.388717600000000	-71.538465299999900
-16.416510800000000	-71.534491299999900
-16.404979300000000	-71.537616200000000
-16.393197399999900	-71.535018300000000
-16.413013899999900	-71.528083699999900
-16.414250100000000	-71.543494600000000
-16.406444000000000	-71.517338699999900
-16.404366499999900	-71.532921000000000
-16.404409699999900	-71.552071100000000
-16.398248899999900	-71.537234100000000
-16.401230399999900	-71.530686700000000
-16.417815999999900	-71.549333700000000
-16.411947800000000	-71.525482499999900
-16.407287799999900	-71.533564999999900
-16.406638000000000	-71.523480000000000
-16.425433699999900	-71.551135900000000
-16.417050000000000	-71.535164600000000
-16.405220600000000	-71.551448399999900
-16.406439400000000	-71.534264199999900
-16.401202200000000	-71.538389800000000
-16.398105999999900	-71.544531300000000
-16.415065899999900	-71.552220700000000
-16.412513199999900	-71.539371299999900
-16.402458400000000	-71.525125900000000
-16.404858699999900	-71.541837400000000
-16.403760999999900	-71.541898700000000
-16.411751299999900	-71.539624799999900
-16.397495700000000	-71.538878600000000
-16.398820099999900	-71.524891800000000
-16.408764500000000	-71.523236800000000
-16.412320800000000	-71.547149000000000
-16.403778700000000	-71.534632299999900
-16.412250600000000	-71.546302800000000
-16.412695700000000	-71.533125400000000
-16.414052600000000	-71.543593000000000
-16.411740999999900	-71.539046799999900
-16.401741600000000	-71.520100999999900
-16.410534699999900	-71.521704900000000
-16.412701100000000	-71.529972999999900
-16.399625900000000	-71.532962100000000
-16.407831600000000	-71.537390700000000
-16.396934300000000	-71.543358400000000
-16.411980600000000	-71.545352399999900
-16.412292799999900	-71.532390300000000
-16.396220199999900	-71.546071299999900
-16.404215600000000	-71.529462499999900
-16.404165599999900	-71.533503899999900
-16.405952700000000	-71.540775900000000
-16.420238000000000	-71.538169499999900
-16.403491500000000	-71.532441199999900
-16.416589800000000	-71.550559399999900
-16.408824100000000	-71.532907399999900
-16.413870299999900	-71.540429200000000
-16.412803600000000	-71.538529100000000
-16.401895400000000	-71.548904800000000
-16.402542000000000	-71.521447300000000
-16.423938600000000	-71.547630900000000
-16.408386900000000	-71.548979700000000
-16.412902599999900	-71.530521199999900
-16.415659500000000	-71.548598100000000
-16.396409999999900	-71.545715700000000
-16.403987099999900	-71.539423099999900
-16.400267299999900	-71.541183599999900
-16.401571900000000	-71.537347800000000
-16.397202400000000	-71.545417299999900
-16.398275200000000	-71.547593000000000
-16.405873900000000	-71.542270400000000
-16.400193900000000	-71.531425700000000
-16.407772099999900	-71.531628900000000
-16.398272899999900	-71.526817300000000
-16.403429800000000	-71.542760599999900
-16.407357000000000	-71.551346400000000
-16.391855499999900	-71.534372500000000
-16.406356599999900	-71.536454300000000
-16.411211500000000	-71.522854699999900
-16.420157300000000	-71.538205599999900
-16.388834800000000	-71.529484800000000
-16.407362800000000	-71.542154999999900
-16.419636900000000	-71.548979399999900
-16.393464900000000	-71.537523899999900
-16.418094900000000	-71.539752300000000
-16.400440799999900	-71.521652300000000
-16.406611200000000	-71.542585599999900
-16.400383399999900	-71.526824199999900
-16.412408500000000	-71.540571700000000
-16.409533799999900	-71.522057700000000
-16.400229599999900	-71.522391999999900
-16.403482499999900	-71.551297000000000
-16.408596200000000	-71.536134200000000
-16.414065900000000	-71.543132400000000
-16.405119800000000	-71.533869999999900
-16.408156099999900	-71.528043400000000
-16.404116599999900	-71.530501999999900
-16.413531299999900	-71.529774200000000
-16.413429600000000	-71.540555499999900
-16.401110100000000	-71.523466099999900
-16.410824300000000	-71.539287599999900
-16.409174900000000	-71.530516500000000
-16.407474400000000	-71.543791299999900
-16.402245400000000	-71.538781299999900
-16.395373299999900	-71.534976700000000
-16.411501200000000	-71.537432199999900
-16.397935700000000	-71.548009199999900
